nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
AE006468.2/4399812-4399927,115.99999999999991,80.0,3704.0,16.0,0.33333333333333354,2.2797208779108686,337.78987551434983,339.25534823248967,39.71171105809919,46.68849659188041,80.0,107.709094435722,3688.0,115094.19130434783,61.020597843841585,30.510298921920793,2.911981685468535,0.31972539092697505,0.25665563143341474,rRNA
AE006468.2/3566749-3566634,115.99999999999997,80.58815453532128,3614.0,20.125670117381297,0.33333333333333337,2.252753280921196,329.4237392781522,330.8529162239817,38.35251696766291,45.62990288205867,80.58815453532128,108.32019854514256,3593.874329882619,109463.65217391304,62.69029566308389,31.345147831541944,2.839859821363382,0.32248901256122,0.2874078515467467,rRNA
AE006468.2/294522-294637,115.99999999999999,84.37857175214228,3670.0,13.706904283655064,0.33333333333333337,2.267081144244915,334.3172146330488,335.7676215065621,36.46875353650948,51.248539759364505,84.37857175214228,111.28207433698488,3656.293095716345,112739.89565217392,60.03353457762037,30.016767288810186,2.88204495373318,0.2837553096022814,0.25058300421137125,rRNA
AE006468.2/4100145-4101686,1542.0000000000018,1003.2840282400243,611220.0,70.65624702880464,0.3333333333333329,8.48288814178634,15547.408980277067,15552.452746502298,502.2908366621277,633.3009487437093,1003.2840282400243,1490.3548268014083,611149.3437529712,241878786.4321869,857.053878057699,428.5269390288495,10.082625797845038,0.10394966243765277,0.25747180881363485,rRNA
AE006468.2/289180-290721,1541.9999999999989,993.1096081200731,611418.0,93.0356105374373,0.3333333333333336,8.489141919369573,15552.55110906246,15557.596543456037,489.78131992390433,618.9249628623811,993.1096081200731,1504.2633712069362,611324.9643894626,242038810.20895523,885.3384083445551,442.66920417227755,10.085960511713665,0.10587788229033777,0.2684148858026224,rRNA
AE006468.2/3572014-3570473,1541.9999999999982,1006.8877627680688,610990.0,92.41204479863447,0.3333333333333337,8.47908644342522,15541.369888140493,15546.411695211693,489.5786969147047,631.7735622582879,1006.8877627680688,1488.945100451182,610897.5879552014,241690916.59701493,857.1715381928941,428.58576909644705,10.078709395681265,0.10329441505158493,0.26246188617782534,rRNA
AE006468.2/2801663-2800122,1541.999999999998,992.1739675926985,610990.0,107.16029770255778,0.33333333333333376,8.47309534614897,15541.219578913362,15546.261337222444,499.2906793338283,630.1577052824098,992.1739675926985,1488.9473226019752,610882.8397022975,241686241.5652174,858.7896173195654,429.3948086597827,10.078611918880274,0.1061356921730868,0.2574564056660671,rRNA
AE006468.2/4394688-4396230,1542.9999999999984,1020.3498780254063,611923.0,78.99448322963258,0.3333333333333337,8.493552952378899,15560.254368100797,15565.29902842724,484.59381222253626,629.12841993914,1020.3498780254063,1488.9722291848395,611844.0055167704,242278533.84435797,859.8438092456995,429.92190462284975,10.084416311147644,0.10076637109083147,0.2537146247370603,rRNA
AE006468.2/4100150-4101684,1535.0000000000039,1028.6126796378448,606239.0,104.51971622646826,0.3333333333333325,8.467256930661156,15455.774196073133,15460.811111375844,476.19684926940874,628.5289808117266,1028.6126796378448,1481.1612488683936,606134.4802837735,239036680.22164276,852.632268056667,426.3161340283335,10.06890827105739,0.0982909003337052,0.26858357712451003,rRNA
AE006468.2/289185-290719,1535.0000000000002,1017.7051594110537,606459.0,63.64135971017332,0.3333333333333333,8.473737421084472,15461.532653653712,15466.57144559248,474.5120020602934,621.7623928392803,1017.7051594110537,1479.826407430292,606395.3586402899,239214832.2816167,858.0640145910116,429.0320072955058,10.072659709220657,0.10037067841396137,0.2690497774325662,rRNA
